original_amount,txn_date,plaid_category,plaid_dirty_name
4.59,2020-11-12,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/11
20,2019-08-09,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
25.13,2020-07-13,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 07/13
23.18,2020-10-21,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
146.98,2021-01-27,"['Shops', 'Beauty Products']",Sephora
10,2019-08-27,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 08/26
2.75,2020-06-30,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/29
55.24,2020-08-28,"['Shops', 'Beauty Products']",Sephora
17.89,2021-01-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
1.67,2020-08-13,"['Travel', 'Gas Stations']",Marathon Petro23
21.94,2019-07-18,"['Shops', 'Beauty Products']",ULTA # 446
25,2019-07-11,"['Travel', 'Parking']",NYCDOT PARKNYC NY 07/10
7.28,2020-08-21,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
63.14,2019-05-20,"['Shops', 'Beauty Products']",ULTA.COM IL 05/18
5,2019-10-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
1.75,2019-10-01,['Food and Drink'],PepsiCo
24.13,2020-11-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3.46,2020-08-20,"['Travel', 'Gas Stations']",MARATHON PETRO120741
28,2019-05-10,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
14.18,2020-06-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
22.68,2020-04-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
2.39,2019-11-25,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
4.08,2020-11-27,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/27
7.03,2019-05-17,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
7,2019-05-17,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
98.13,2019-03-04,"['Service', 'Insurance']",State Farm
8.5,2020-08-06,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 08/05
10.45,2020-05-11,"['Travel', 'Gas Stations']",MARATHON PETRO1207 05-09 FORT
4,2020-09-02,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 09/01
21.67,2020-01-20,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2019-10-11,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
9.99,2019-10-03,"['Travel', 'Gas Stations']",QuikTrip
42.01,2020-05-20,"['Shops', 'Pets']",CHEWY INC
32,2017-05-26,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
2.21,2019-07-01,"['Shops', 'Discount Stores']",Dollar Tree
5,2020-10-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/25
6.02,2020-09-19,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3,2019-08-09,"['Travel', 'Public Transportation Services']",VENTRA VENDING 03502
31.21,2020-08-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
105,2020-01-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
43.85,2020-05-14,"['Shops', 'Beauty Products']",Debit Purchase 05/14 card 6332 Ulta#1201
5,2018-05-26,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/17
2,2020-12-18,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
57.45,2020-09-21,"['Shops', 'Convenience Stores']",Cumberland Farms
987.39,2018-05-07,"['Transfer', 'Debit']",ALLY CASHBACK
13.75,2019-07-30,"['Travel', 'Gas Stations']",Sheetz
663.86,2018-04-12,"['Transfer', 'Debit']",ALLY CASHBACK
10.28,2018-01-16,"['Shops', 'Pharmacies']",Duane Reade
11.59,2019-12-29,"['Shops', 'Discount Stores']",Dollar Tree
6,2020-06-18,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/17
7.09,2020-11-13,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
13.34,2020-07-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
108.48,2020-07-31,"['Shops', 'Beauty Products']",ULTA # 476 SAN MARCOS TX 07/31
18.09,2020-09-26,"['Travel', 'Gas Stations']",QuikTrip
90.24,2020-08-21,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
5,2018-11-09,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
4,2020-06-08,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/05
54.09,2020-06-30,"['Shops', 'Pets']",CHEWY.COM
5,2018-09-12,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
160.31,2017-08-11,"['Shops', 'Beauty Products']",ULTA #594 PORT CHESTER NY 08/11
1123.18,2019-02-25,"['Transfer', 'Debit']",ALLY CASHBACK
56.9,2019-11-04,"['Shops', 'Convenience Stores']",Cumberland Farms
5,2019-04-10,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10.75,2020-08-28,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 08/27
54.44,2019-01-11,"['Shops', 'Beauty Products']",Sephora
20.01,2019-06-25,"['Travel', 'Gas Stations']",QuikTrip
163.18,2019-09-03,"['Shops', 'Beauty Products']",ULTA
53.72,2020-08-28,"['Shops', 'Convenience Stores']",Cumberland Farms
28.59,2021-01-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
53.14,2019-08-12,"['Shops', 'Convenience Stores']",Cumberland Farms
5,2018-02-16,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
20,2019-07-30,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
1.75,2019-10-28,['Food and Drink'],PepsiCo
16.32,2017-08-07,"['Shops', 'Pharmacies']",Duane Reade
49.55,2020-11-23,"['Shops', 'Convenience Stores']",Cumberland Farms
20,2020-05-18,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 05/16
17.8,2021-02-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
69.96,2019-09-12,"['Shops', 'Beauty Products']",Sephora
12.83,2020-05-31,"['Service', 'Insurance']",State Farm
5,2020-02-11,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 02/10
16.13,2019-11-05,"['Shops', 'Pharmacies']",JEWEL OSCO 3485 LAKE ZURICH IL 11/05
136.86,2020-01-21,"['Service', 'Insurance']",State Farm
8.36,2020-09-08,"['Shops', 'Discount Stores']",Dollar Tree
31.78,2020-05-12,['Service'],WIX.COM*666483121 NY 05/11
5,2019-03-18,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10.91,2021-01-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
365.04,2020-01-06,"['Transfer', 'Debit']",ALLY CASHBACK
28.52,2020-06-12,"['Service', 'Shipping and Freight']",UPS*1ZUT49960395313822
6.5,2020-02-13,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 02/12
20,2019-12-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
66.58,2020-03-10,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
21.13,2019-09-17,"['Shops', 'Convenience Stores']",Cumberland Farms
5,2020-06-22,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/19
6,2019-11-05,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 11/04
12,2018-12-28,"['Travel', 'Parking']",SPOTHERO 8443568054 IL 12/26
25.05,2020-12-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
18.18,2019-09-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
16.79,2020-08-03,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 08/03
60.3,2019-12-02,"['Travel', 'Gas Stations']",Cumberland Farms
5.81,2020-08-29,"['Shops', 'Discount Stores']",Dollar General
5,2018-07-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10.78,2020-06-29,['Service'],WIX.COM*7008088
5,2020-06-15,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/12
29.25,2020-12-08,"['Shops', 'Discount Stores']",Dollar General
3.99,2020-02-28,['Service'],MARATHON PETRO191684
1.99,2018-12-30,"['Food and Drink', 'Restaurants']",White Castle
400,2019-07-10,"['Transfer', 'Debit']",ALLY CASHBACK
20.8,2019-08-02,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
37.17,2019-05-08,"['Shops', 'Beauty Products']",Sephora
6,2019-12-17,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 12/16
5,2019-08-26,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
2.53,2020-03-02,"['Travel', 'Gas Stations']",MARATHON PETRO1207 02-28 FORT
10,2020-11-10,"['Travel', 'Public Transportation Services']",VENTRA MOBILE CHICAGO IL 11/09
17.03,2020-01-20,"['Shops', 'Clothing and Accessories']",Withdrawal Debit T J MAXX # / 1123
23.34,2019-05-12,"['Travel', 'Gas Stations']",MARATHON PETRO102095
12.69,2021-02-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
10.29,2019-12-11,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 12/11
5,2019-05-08,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
20,2020-08-12,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 08/11
51.69,2021-01-27,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
37.02,2020-03-07,"['Shops', 'Beauty Products']",Sephora
4,2020-06-04,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/03
13.91,2020-02-07,"['Service', 'Shipping and Freight']",UPS
29.93,2019-12-03,"['Shops', 'Clothing and Accessories']",T.J.Maxx
29.34,2020-10-25,"['Food and Drink', 'Restaurants']",Hover.Com
6,2019-11-26,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 11/25
18.49,2019-01-11,"['Shops', 'Pharmacies']",Duane Reade
88.73,2018-01-08,"['Shops', 'Beauty Products']",Sephora
14.98,2020-05-11,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2019-10-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10.8,2020-12-09,"['Shops', 'Discount Stores']",Dollar General
9.26,2020-11-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
9.95,2019-06-13,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
5,2019-06-14,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
20,2020-12-11,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 12/10
5.57,2020-01-21,"['Shops', 'Discount Stores']",Dollar General
250,2019-08-02,"['Transfer', 'Debit']",ALLY CASHBACK
987.31,2018-02-28,"['Transfer', 'Debit']",ALLY CASHBACK
143.8,2019-12-08,"['Shops', 'Clothing and Accessories']",T.J.Maxx
20,2019-12-06,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
12.99,2020-09-08,"['Shops', 'Discount Stores']",Dollar Tree
16.28,2021-01-26,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10,2019-03-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
2,2019-01-14,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 01/12
19.79,2020-08-21,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
15.24,2020-05-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-11-23,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
61.35,2020-02-10,"['Shops', 'Convenience Stores']",Cumberland Farms
9.01,2019-05-22,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10,2017-12-07,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
12.99,2019-07-08,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
215.34,2019-04-29,"['Service', 'Insurance']",State Farm
36.82,2019-12-16,"['Service', 'Shipping and Freight']",UPS
4,2020-07-10,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/09
54.84,2019-08-05,"['Shops', 'Beauty Products']",Debit Purchase 08/03 card 6332 Ulta #1150
29.9,2019-10-15,['Service'],WIX.COM*529186813 NY 10/11
10,2018-03-26,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
121,2018-11-13,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
40.65,2019-12-22,"['Shops', 'Beauty Products']",ULTA
5,2020-08-28,"['Service', 'Shipping and Freight']",UPS
17.61,2019-09-29,"['Shops', 'Clothing and Accessories']",T.J.Maxx
53.17,2019-12-17,"['Shops', 'Convenience Stores']",Cumberland Farms
17,2020-12-21,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
3,2020-07-27,['Service'],THE UPS STORE #5800
19.38,2019-07-30,"['Travel', 'Gas Stations']",Sheetz
19.79,2020-09-04,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
13.94,2020-12-11,"['Shops', 'Beauty Products']",Sephora
20,2020-08-13,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 08/12
5,2019-06-04,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
24.46,2020-07-06,"['Shops', 'Pharmacies']",Duane Reade
47.53,2020-06-05,"['Shops', 'Convenience Stores']",Cumberland Farms
5,2021-01-04,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 12/31
7.05,2019-05-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
6,2020-01-14,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 01/13
50,2020-10-29,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/28
25,2019-12-04,"['Travel', 'Parking']",NYCDOT PARKNYC NY 12/03
19.13,2020-04-27,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
11.83,2020-04-15,"['Travel', 'Gas Stations']",QuikTrip
11,2019-10-09,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
10,2019-10-21,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 10/18
11.93,2020-06-15,"['Travel', 'Gas Stations']",QuikTrip
787.5,2018-12-03,"['Transfer', 'Debit']",ALLY CASHBACK
124.02,2020-09-18,"['Service', 'Insurance']",State Farm
10.58,2019-08-01,"['Shops', 'Clothing and Accessories']",T.J.Maxx
9.24,2020-07-14,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 07/14
28.49,2019-09-03,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
10.37,2019-12-25,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
139.13,2019-07-18,"['Service', 'Insurance']",State Farm
28.35,2020-06-01,"['Service', 'Shipping and Freight']",UPS
411.81,2018-03-13,"['Transfer', 'Debit']",ALLY CASHBACK
53.84,2020-07-23,"['Shops', 'Convenience Stores']",Cumberland Farms
5,2020-06-15,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/13
822.52,2019-03-04,"['Transfer', 'Debit']",ALLY CASHBACK
10,2021-01-19,"['Food and Drink', 'Restaurants']",Chick-Fil-A
7.21,2020-02-21,"['Travel', 'Gas Stations']",MARATHON PETRO2197 02-20 MURRAY
6.45,2021-01-14,"['Service', 'Shipping and Freight']",THE UPS STORE # 1184
69.52,2021-02-04,"['Shops', 'Pets']",ATM DEBIT CHEWY.COM
5,2019-02-04,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
32.28,2020-05-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10,2020-06-22,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/20
680.17,2019-05-23,"['Transfer', 'Debit']",ALLY CASHBACK
3.52,2019-09-30,"['Food and Drink', 'Restaurants']",Panda Express
24,2019-08-23,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
10.4,2018-11-15,"['Shops', 'Pharmacies']",Duane Reade
227.89,2019-04-16,"['Transfer', 'Debit']",ALLY CASHBACK
10,2019-11-25,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 11/24
2,2019-06-05,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
14.98,2020-08-26,"['Travel', 'Gas Stations']",QuikTrip
9.19,2020-09-27,"['Travel', 'Gas Stations']",QuikTrip
6.6,2018-11-14,"['Food and Drink', 'Restaurants']",Panda Express
5.76,2020-08-14,"['Food and Drink', 'Restaurants', 'Dessert']",Smoothie King
102.29,2018-12-20,"['Shops', 'Clothing and Accessories']",T.J.Maxx
5.83,2020-10-13,"['Shops', 'Discount Stores']",Dollar Tree
10.6,2020-03-02,"['Shops', 'Discount Stores']",Dollar General
339.74,2019-07-22,"['Transfer', 'Debit']",ALLY CASHBACK
14.25,2020-07-23,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 07/23
8,2020-10-30,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
12.83,2021-01-04,"['Service', 'Insurance']",State Farm
8.85,2020-07-20,"['Shops', 'Discount Stores']",Dollar General
23.99,2020-07-03,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 07/03
14.93,2019-11-18,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
55.49,2021-02-02,"['Shops', 'Beauty Products']",POS DEBIT ULTA #210
2.21,2020-12-02,"['Shops', 'Discount Stores']",Dollar Tree
5,2018-09-27,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10,2018-02-12,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
9,2020-01-21,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10,2019-08-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
27.22,2019-10-21,"['Shops', 'Beauty Products']",ULTA 1402 NEW YORK NY 10/19
13.17,2018-12-02,"['Food and Drink', 'Restaurants']",Hover.Com
19.91,2021-01-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
0.65,2020-11-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
31,2016-08-09,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
8.16,2020-07-07,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 07/07
19.18,2020-09-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
35.77,2019-05-21,"['Shops', 'Clothing and Accessories']",ROSS STORES #1 05/21 PURCHASE
14.33,2020-03-29,"['Shops', 'Pets']",CHEWY INC
10.23,2020-07-06,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
36.43,2019-10-15,"['Shops', 'Pharmacies']",Duane Reade
5,2018-09-19,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
15.5,2020-02-18,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 02/15
17,2020-03-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.75,2020-01-13,"['Shops', 'Beauty Products']",ULTA
16.57,2020-02-06,"['Travel', 'Gas Stations']",MARATHON PETRO2197 02-05 MURRAY
12.99,2019-11-12,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
1.07,2020-04-01,"['Service', 'Shipping and Freight']",THE UPS STORE #4196 43 LAFAYETTE IN 04/01
10.78,2020-12-27,['Service'],SIGNED PURCHASE WIX.COM*836297383 POS
25,2019-11-13,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
107.49,2019-02-20,"['Service', 'Insurance']",State Farm
25,2020-01-17,['Service'],MARATHON PETRO191684
2,2019-02-14,"['Shops', 'Discount Stores']",Dollar General
9,2020-03-25,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
4.47,2017-12-18,"['Food and Drink', 'Restaurants']","DUNKIN #300797 Q35 MIAMI, FL, US"
20,2020-05-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 05/25
5,2018-06-07,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
15,2019-01-09,"['Travel', 'Public Transportation Services']",VENTRA VENDING 02101
10,2019-06-10,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
165.3,2020-12-04,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
20,2019-12-09,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 12/08
14.5,2019-07-09,['Service'],Recurring Payment - WIX.COM*471413313
1.78,2020-09-11,"['Shops', 'Pharmacies']",Duane Reade
21.51,2020-06-17,"['Shops', 'Pets']",CHEWY.COM FL PMT-CQITCZ1PSJ
3,2019-09-28,"['Travel', 'Gas Stations']",QuikTrip
21.95,2020-10-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
127.42,2020-06-05,"['Service', 'Insurance']",State Farm
5,2019-09-06,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
13.39,2020-06-25,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
29.77,2020-06-19,"['Shops', 'Convenience Stores']",Cumberland Farms
138.13,2019-12-18,"['Service', 'Insurance']",State Farm
25.15,2019-06-18,"['Travel', 'Gas Stations']",Debit Purchase -visa 06/16 card 6332 Marathon Petro18catlettsburgky
49.87,2020-03-06,"['Shops', 'Beauty Products']",Debit Purchase 03/06 card 6332 Ulta#1201
14.08,2020-02-18,"['Service', 'Insurance']",State Farm
5.66,2019-08-26,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
20,2021-01-04,"['Shops', 'Digital Purchase']",POS DEBIT GLOBALPOK GOLD COINS TA XBIEX
9.24,2020-11-02,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/01
16.92,2020-05-22,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
0.85,2019-01-03,"['Shops', 'Discount Stores']",Dollar Tree
18.5,2020-07-22,['Service'],Recurring Payment - WIX.COM*717641923
59.01,2019-09-03,"['Shops', 'Convenience Stores']",Cumberland Farms
7.08,2020-07-03,"['Shops', 'Discount Stores']",Dollar General
121,2018-11-25,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
17.09,2019-06-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
37.51,2020-11-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
7.22,2020-10-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
82.46,2020-09-14,"['Shops', 'Beauty Products']",ULTA.COM 09/10 PURCHASE 8669838582
10,2020-10-23,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/22
19.28,2020-07-14,"['Travel', 'Gas Stations']",MARATHON PETRO189092
3,2019-02-09,"['Shops', 'Discount Stores']",Dollar General
19.1,2020-09-26,"['Travel', 'Gas Stations']",QuikTrip
2.12,2019-03-25,"['Shops', 'Discount Stores']",Dollar General
31.83,2019-05-01,"['Travel', 'Gas Stations']",QuikTrip
5,2019-09-10,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10,2018-03-15,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
10,2019-07-25,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
12.93,2020-11-27,"['Shops', 'Pharmacies']",Duane Reade
4.69,2020-10-22,"['Shops', 'Pharmacies']",Duane Reade
4.88,2019-10-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
163.56,2020-03-11,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
21.24,2021-01-25,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT
146.28,2019-02-28,"['Shops', 'Beauty Products']",Sephora
29.73,2019-11-18,"['Shops', 'Beauty Products']",Sephora
69.17,2020-12-12,"['Shops', 'Clothing and Accessories']",T.J.Maxx
25,2019-05-16,"['Travel', 'Parking']",NYCDOT PARKNYC NY 05/15
5,2018-03-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
1,2019-05-09,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 05/08
4.49,2019-09-10,"['Shops', 'Pharmacies']",Duane Reade
10,2020-10-23,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/22
10.59,2019-08-14,"['Travel', 'Gas Stations']",Sheetz
5,2021-01-04,"['Shops', 'Digital Purchase']",POS DEBIT GLOBALPOK GOLD COINS TA XBIEX
48.6,2020-12-14,['Service'],SIGNED PURCHASE WIX.COM*826910173NEW YORK POS
8.58,2019-08-15,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
12.5,2019-05-28,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
5,2018-07-14,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
7.5,2019-09-23,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 09/21
100.02,2019-11-08,"['Shops', 'Department Stores']",ROSS STORES #1 11/08 PURCHASE CRESTWOOD IL DEBIT CARD *0044
28.99,2019-06-10,['Service'],WIX.COM*457336691 NY 06/08
58.33,2020-10-01,"['Shops', 'Discount Stores']",Dollar General
13.17,2019-12-22,"['Food and Drink', 'Restaurants']",Hover.Com
13.51,2019-07-29,"['Travel', 'Gas Stations']",Sheetz
13,2019-09-16,"['Travel', 'Parking']",SPOTHERO 844-35
10,2021-01-11,"['Service', 'Personal Care']",POS DEBIT GLOBALPOK GOLD COIN GP@VGW.CO
19.1,2019-05-30,"['Shops', 'Clothing and Accessories']",T.J.Maxx
17.22,2021-01-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
9.01,2019-05-21,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
11.4,2017-08-02,"['Food and Drink', 'Restaurants']",DUNKIN #338221 Q35 BROOKLYN NY 08/01
4.67,2017-06-29,"['Food and Drink', 'Restaurants']",DUNKIN #348576 Q35 ASTORIA NY 06/28
20,2020-06-05,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/04
214.38,2021-02-01,"['Shops', 'Clothing and Accessories']",POS DEBIT ROSS STORES #1892
7.13,2019-08-18,"['Food and Drink', 'Restaurants']",Chick-Fil-A
90.08,2019-08-19,"['Service', 'Insurance']",State Farm
2.25,2018-10-24,['Food and Drink'],PepsiCo
8.18,2021-01-19,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
39.69,2019-05-20,"['Shops', 'Beauty Products']",ULTA
21.19,2020-12-24,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
149.46,2019-08-15,"['Shops', 'Beauty Products']",Sephora
1.08,2020-09-21,"['Shops', 'Discount Stores']",Dollar Tree
110.81,2020-01-14,"['Transfer', 'Debit']",ALLY CASHBACK
11.97,2020-05-26,"['Shops', 'Pharmacies']",Duane Reade
29.99,2019-06-26,"['Food and Drink', 'Restaurants']",Hover.Com
